Date_time,Real Data,AR,LSTM univariado
2018-03-22 09:00:00,711.31,582.1865361000001,587.3847764968872
2018-03-22 10:00:00,913.84,783.60463099,816.8524189174176
2018-03-22 11:00:00,1039.73,939.1517417299999,896.5443174040317
2018-03-22 12:00:00,450.46,1037.3486742299997,865.5697135484219
2018-03-22 13:00:00,760.13,504.0759032499999,459.56410994768146
2018-03-22 14:00:00,503.14,556.4874692799998,586.4576302671433
2018-03-22 15:00:00,309.16,240.37895036000006,337.3926547980309
2018-03-22 16:00:00,38.48,170.42788030999998,187.22847773194314
2018-03-22 17:00:00,60.23,64.66240785,45.51777609854937
2018-03-23 08:00:00,230.37,319.76255838000003,387.7604054456949
2018-03-23 09:00:00,279.91,529.0134647200001,500.5637797540426
2018-03-23 10:00:00,527.46,563.9451141200001,477.8753529292345
2018-03-23 11:00:00,493.07,736.8257060899998,572.8862229913474
2018-03-23 12:00:00,83.37,573.1083932500001,490.99962833404544
2018-03-23 13:00:00,57.52,340.24384684,245.95698569118977
2018-03-23 14:00:00,64.92,162.00801998000003,180.25272031098604
2018-03-23 15:00:00,57.46,56.59659125000003,132.20562500193716
2018-03-23 16:00:00,34.26,40.60009872000002,87.94291049525143
2018-03-23 17:00:00,57.5,90.64067644,107.83329122543336
2018-03-24 08:00:00,316.87,266.20006423999996,312.19725311279296
2018-03-24 09:00:00,689.95,521.7873479599999,437.90742364883425
2018-03-24 10:00:00,984.06,734.2082260000001,642.7278924143314
2018-03-24 11:00:00,472.04,831.68576159,754.6710048723221
2018-03-24 12:00:00,86.99,279.7760632499999,410.0870199608803
2018-03-24 13:00:00,39.13,201.33690365,195.24577046245338
2018-03-24 14:00:00,55.12,67.81097770999999,116.10458368331194
2018-03-24 15:00:00,310.31,109.06883855999999,78.03936982378364
2018-03-24 16:00:00,362.81,237.38785928000004,143.33667069107295
2018-03-24 17:00:00,72.38,325.56473911999996,195.76057379364968
2018-03-25 08:00:00,540.08,322.70230214,276.89912683546544
2018-03-25 09:00:00,780.07,687.7186834,564.7780311709643
2018-03-25 10:00:00,848.35,813.4048979199998,716.1882796168328
2018-03-25 11:00:00,558.5,626.10568119,668.4910417342186
2018-03-25 12:00:00,566.89,249.70637578999998,405.78644531786443
2018-03-25 13:00:00,419.72,335.3785356699999,398.37242380321027
2018-03-25 14:00:00,652.5,312.36112518000004,274.2526637622714
2018-03-25 15:00:00,759.48,517.65470127,355.0963063645363
2018-03-25 16:00:00,175.17,527.2762629300001,356.57682288587097
2018-03-25 17:00:00,35.42,190.33832664,108.25058398783207
2018-03-26 08:00:00,526.43,356.34384581999996,324.4084447985888
2018-03-26 09:00:00,747.64,716.4266124999999,648.0160261130333
2018-03-26 10:00:00,930.03,844.59467372,800.3353354203701
2018-03-26 11:00:00,781.69,664.5014278599999,799.4063701593876
2018-03-26 12:00:00,239.57,510.9931880999999,596.1295592880249
2018-03-26 13:00:00,183.19,260.12715550999997,306.9301781988144
2018-03-26 14:00:00,476.99,318.34217308,198.33000789016486
2018-03-26 15:00:00,381.56,465.38994656,318.9234009683132
2018-03-26 16:00:00,103.45,274.6179480999999,214.5656662657857
2018-03-26 17:00:00,47.18,108.96626802000003,71.0661266887933
2018-03-27 08:00:00,450.29,371.15696633000005,366.5899951708317
2018-03-27 09:00:00,744.87,694.1505353399998,636.7532843112946
2018-03-27 10:00:00,982.84,829.3720330500001,822.3373578035831
2018-03-27 11:00:00,777.73,729.3402635899998,873.2420374989509
2018-03-27 12:00:00,659.91,519.58155312,647.1663286364079
2018-03-27 13:00:00,400.8,507.69991315999994,546.4360395652055
2018-03-27 14:00:00,713.94,441.73514931999995,336.70425641834737
2018-03-27 15:00:00,442.42,569.5643922800001,450.17664942741396
2018-03-27 16:00:00,54.72,207.46806562,208.59565821290016
2018-03-27 17:00:00,66.5,86.53470658999996,45.95133957065642
2018-03-28 08:00:00,256.77,384.05777385,386.6003532546759
2018-03-28 09:00:00,676.37,602.7859303300002,505.7053764939308
2018-03-28 10:00:00,706.23,848.7989853199998,778.2827999389172
2018-03-28 11:00:00,736.22,637.4069961899997,725.0703293037415
2018-03-28 12:00:00,1030.3,547.8296204099997,630.4816843771935
2018-03-28 13:00:00,308.66,740.5816099199997,728.500882294178
2018-03-28 14:00:00,497.72,400.8415387500001,282.1943267709017
2018-03-28 15:00:00,147.91,357.4326174600001,360.27193997740744
2018-03-28 16:00:00,78.1,9.462201830000005,95.16134242504836
2018-03-28 17:00:00,11.65,122.43227644999996,48.48395140260458
2018-03-29 08:00:00,203.97,260.46408503,366.0027279317379
2018-03-29 09:00:00,333.09,548.5169514699999,465.76361327826976
2018-03-29 10:00:00,471.66,614.19045448,505.86950908184053
2018-03-29 11:00:00,391.52,573.20607464,530.5556519830227
2018-03-29 12:00:00,548.28,529.91018373,409.85418396234513
2018-03-29 13:00:00,457.8,424.41051326,443.70415148556236
2018-03-29 14:00:00,205.05,484.23691828,351.2057483589649
2018-03-29 15:00:00,156.21,100.72177360999999,186.07766062259674
2018-03-29 16:00:00,38.75,71.55244826999997,104.19229031324387
2018-03-29 17:00:00,34.8,87.99058836,52.62787072554231
2018-03-30 08:00:00,294.96,214.28471191000008,335.81558969557284
2018-03-30 09:00:00,453.29,477.26530354000005,506.78423692524433
2018-03-30 10:00:00,572.33,578.2096322900001,577.7368097144365
2018-03-30 11:00:00,584.63,599.8665678300001,573.076801494956
2018-03-30 12:00:00,670.01,658.3718765599999,495.73691039979457
2018-03-30 13:00:00,456.01,461.9406411499999,490.4241148352623
