,Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
0,20,50,50,1,0.60032816252455,0.5899919567869399,0.7748084682839689
1,20,50,50,2,0.5490218130203735,0.5517687244349854,0.7409600616904891
2,20,50,50,3,0.6006680694036114,0.5702689651902749,0.7750277862138953
3,20,50,100,1,0.5565544392150785,0.5549481367276472,0.746025763104116
4,20,50,100,2,0.54085537712259,0.5460183350425389,0.735428702949912
5,20,50,100,3,0.6039795273822247,0.579663079084845,0.777161197810483
6,20,50,150,1,0.5587803278061658,0.5530038688800574,0.7475161053824632
7,20,50,150,2,0.6224440768791363,0.5866861245212941,0.7889512512691366
8,20,50,150,3,0.5514971145306327,0.5441785271887316,0.7426285171811224
9,20,50,200,1,0.5442730205561593,0.5500017250141978,0.737748616099115
10,20,50,200,2,0.6075373818566139,0.5752768910321543,0.7794468435093017
11,20,50,200,3,0.538526611658798,0.5475828672636713,0.7338437242756785
12,20,75,50,1,0.5465284433311786,0.5518459330754145,0.7392756206795802
13,20,75,50,2,0.5520105166269844,0.5533535906538372,0.7429741022586079
14,20,75,50,3,0.5707862240987082,0.5568860330804435,0.7555039537280451
15,20,75,100,1,0.5503061658747757,0.5571254167538141,0.7418262369819334
16,20,75,100,2,0.6317052103204813,0.587642942358734,0.7947988489677632
17,20,75,100,3,0.577461454734904,0.5701467415440148,0.7599088463328374
18,20,75,150,1,0.5569101215637966,0.5611569657020632,0.7462641097921008
19,20,75,150,2,0.6721688892590422,0.6045636518555407,0.8198590667053955
20,20,75,150,3,0.5490130392723823,0.5451092129272661,0.7409541411399104
21,20,75,200,1,0.5324996860935599,0.5397797041322516,0.7297257608811408
22,20,75,200,2,0.5331174128828807,0.5438918928471873,0.7301488977481789
23,20,75,200,3,0.5679316799768938,0.5671302519736539,0.7536124202644844
24,20,100,50,1,0.598205196202192,0.5966656221995622,0.7734372606761275
25,20,100,50,2,0.6740109441293987,0.6313083595192921,0.8209816953680507
26,20,100,50,3,0.5426114232761953,0.5470373562595058,0.7366216282978632
27,20,100,100,1,0.5651159238162018,0.5706269846054092,0.7517419263392203
28,20,100,100,2,0.6175565127146001,0.5857448015395124,0.7858476396316274
29,20,100,100,3,0.5248622988326933,0.5357978269919074,0.7244738082447794
30,20,100,150,1,0.5825728600242307,0.5702875833792891,0.7632646068200927
31,20,100,150,2,0.5993439582156348,0.5800558802505966,0.774173080270578
32,20,100,150,3,0.535773651671733,0.5407090595631074,0.7319656082574734
33,20,100,200,1,0.5550706533329985,0.5608076612227247,0.7450306391907641
34,20,100,200,2,0.5278760553110134,0.545446827950041,0.7265507933455262
35,20,100,200,3,0.5217359305816393,0.5378674528606644,0.7223129035131791
36,20,125,50,1,0.6053698054428159,0.5831885063838705,0.7780551429319236
37,20,125,50,2,0.5916829799017863,0.566335619718272,0.7692093212525355
38,20,125,50,3,0.542432039399068,0.5554430088385466,0.73649985702583
39,20,125,100,1,0.5613390884191192,0.5540772413030398,0.749225659210307
40,20,125,100,2,0.5704801927753674,0.5572253816750132,0.7553013920120679
41,20,125,100,3,0.5671413528412377,0.5783840164760015,0.7530878785648044
42,20,125,150,1,0.543299218455179,0.5467754120713457,0.7370883382981847
43,20,125,150,2,0.5345346758569351,0.5463475643328556,0.7311187836849325
44,20,125,150,3,0.5827151620680812,0.578690041659315,0.7633578204669689
45,20,125,200,1,0.5864334591005164,0.5658184719930477,0.7657894352238848
46,20,125,200,2,0.57717195625376,0.5631664314125493,0.7597183400799009
47,20,125,200,3,0.5446952223222702,0.5530701830440758,0.7380347026544688
48,24,50,50,1,0.5821933052447152,0.5628709574969462,0.7630159272549396
49,24,50,50,2,0.6327429362002123,0.591498928525441,0.7954514040469174
50,24,50,50,3,0.5386869219138958,0.5428429989082741,0.7339529425745875
51,24,50,100,1,0.5319543258372275,0.5508157680734158,0.7293519903566641
52,24,50,100,2,0.5680954545577722,0.565445115452945,0.7537210721200331
53,24,50,100,3,0.6141749501153968,0.5836884130898815,0.783693147931891
54,24,50,150,1,0.5697190580568837,0.5790762325135759,0.7547973622482287
55,24,50,150,2,0.5322685158056062,0.5461701442410306,0.729567348368611
56,24,50,150,3,0.6040498803561501,0.5906203515714348,0.7772064592861733
57,24,50,200,1,0.6827922742530943,0.6277157174617352,0.8263124555838998
58,24,50,200,2,0.5228094212489831,0.5470607234321673,0.7230556142157968
59,24,50,200,3,0.54676699472147,0.5557171048315902,0.73943694438503
60,24,75,50,1,0.5479925222412879,0.5523805004277051,0.7402651702202988
61,24,75,50,2,0.5971388717192918,0.5840511211440759,0.7727476119143247
62,24,75,50,3,0.5696078049256266,0.559849904855577,0.7547236612997015
63,24,75,100,1,0.5700510830917414,0.5657050711399685,0.755017273373094
64,24,75,100,2,0.5272677382713549,0.5464656557803346,0.7261320391439527
65,24,75,100,3,0.5506558534472639,0.5512808262887097,0.7420618932725651
66,24,75,150,1,0.5909263811961643,0.5724339386256388,0.7687173610607245
67,24,75,150,2,0.5242987074993307,0.5389077457755675,0.7240847377892526
68,24,75,150,3,0.6173179645817478,0.6061429158152433,0.7856958473746363
69,24,75,200,1,0.5856298843522059,0.5818288396194129,0.765264584540671
70,24,75,200,2,0.5414233458585294,0.5564325267055112,0.7358147496880784
71,24,75,200,3,0.5661690085115435,0.5622325937054421,0.7524420300006796
72,24,100,50,1,0.5601474274742305,0.5591355768842369,0.7484299749971473
73,24,100,50,2,0.5590961164121523,0.5561252162236736,0.747727300833768
74,24,100,50,3,0.5783197209978783,0.5596167696766565,0.7604733532464358
75,24,100,100,1,0.5271822366126285,0.5466617864776546,0.7260731620247567
76,24,100,100,2,0.5562956171465563,0.5632653740728261,0.745852275686383
77,24,100,100,3,0.5306795034072763,0.542280786678815,0.7284775242979541
78,24,100,150,1,0.542808760028959,0.548678526035597,0.736755563283345
79,24,100,150,2,0.5093936654409609,0.5296659998790263,0.7137181974988174
80,24,100,150,3,0.5717672558119186,0.5600067543611464,0.7561529314972723
81,24,100,200,1,0.5502390393593068,0.5587150623979665,0.7417809915057859
82,24,100,200,2,0.5289282858098271,0.5427899157607573,0.7272745601283102
83,24,100,200,3,0.5632547059956906,0.5540768218224326,0.7505029686787992
84,24,125,50,1,0.6189407981234454,0.5848885542021762,0.7867279060281549
85,24,125,50,2,0.5453604943550364,0.545888269467111,0.7384852702356605
86,24,125,50,3,0.6841950493381094,0.6243094051641063,0.8271608364387844
87,24,125,100,1,0.605589288644491,0.5924076702934256,0.7781961761949817
88,24,125,100,2,0.5507394834271147,0.547609331024172,0.7421182408667197
89,24,125,100,3,0.5489818854014046,0.5464677147637823,0.7409331180352277
90,24,125,150,1,0.5999726651600917,0.5663352007853935,0.7745790244772264
91,24,125,150,2,0.548179627844534,0.5484313974199199,0.7403915368536663
92,24,125,150,3,0.5791989444853431,0.568196044234583,0.7610512101595681
93,24,125,200,1,0.543871831148162,0.5574441327558699,0.7374766648160211
94,24,125,200,2,0.5420247726888412,0.5434336865611021,0.7362233171319971
95,24,125,200,3,0.5555677520383548,0.5588505125229636,0.7453641741044138
96,28,50,50,1,0.5984730633633257,0.5634454587159298,0.773610407998319
97,28,50,50,2,0.5537758530848874,0.5576626263989076,0.7441611741315771
98,28,50,50,3,0.5615297960170773,0.5538896368208099,0.7493529182014822
99,28,50,100,1,0.5438442060119875,0.5520238248965788,0.7374579350796813
100,28,50,100,2,0.6012819442102062,0.5795741504634533,0.7754237191434153
101,28,50,100,3,0.5392248690589654,0.5538785693302849,0.7343193236317327
102,28,50,150,1,0.5497047598271987,0.5639512545797579,0.7414207711058537
103,28,50,150,2,0.5870583119110775,0.5784660220587092,0.7661973061236104
104,28,50,150,3,0.6109087317508952,0.5837590175968962,0.7816065069783485
105,28,50,200,1,0.5578678633959532,0.5649755637535193,0.7469055250806177
106,28,50,200,2,0.6056713928797625,0.5966601250368402,0.7782489273232328
107,28,50,200,3,0.5772636593809403,0.547002262814536,0.7597786910547968
108,28,75,50,1,0.5884527986820925,0.579087602391441,0.7671067713702523
109,28,75,50,2,0.5951857154743829,0.5796642631553466,0.771482803096986
110,28,75,50,3,0.5382977581043549,0.5440128667156473,0.7336877797158372
111,28,75,100,1,0.5418138074724208,0.5492563494502282,0.7360800278994267
112,28,75,100,2,0.5489362476356012,0.5569121869211907,0.7409023199016191
113,28,75,100,3,0.537393013591185,0.5464907843515777,0.7330709471744089
114,28,75,150,1,0.5679964518545477,0.5619801170989139,0.7536553933028992
115,28,75,150,2,0.5364253720148088,0.5523594886856461,0.732410658042883
116,28,75,150,3,0.5322505837144186,0.5456441906031197,0.7295550587271796
117,28,75,200,1,0.5368468629330758,0.5500283191239002,0.732698343749374
118,28,75,200,2,0.605729060569557,0.5752793606555828,0.778285976084342
119,28,75,200,3,0.5451069293397101,0.5494234066558222,0.7383135711469145
120,28,100,50,1,0.5427044108140779,0.5511053581547374,0.7366847431663547
121,28,100,50,2,0.5199447080401313,0.5372300397391739,0.7210719159973791
122,28,100,50,3,0.6320014606343,0.5865826571284782,0.7949851952296344
123,28,100,100,1,0.5364376079294723,0.5554204510280333,0.7324190111742541
124,28,100,100,2,0.6282892563933753,0.5893128352718632,0.7926469935560062
125,28,100,100,3,0.561440013485567,0.5648538075984637,0.7492930090996226
126,28,100,150,1,0.5419781558635735,0.5493291527358186,0.7361916570184516
127,28,100,150,2,0.5442656226048699,0.5477282625274972,0.7377436022120896
128,28,100,150,3,0.5371733752171672,0.5542014657427989,0.7329211248266536
129,28,100,200,1,0.5989542422529991,0.5662276716542737,0.7739213411277654
130,28,100,200,2,0.5602825894863316,0.5512989327992149,0.7485202665835653
131,28,100,200,3,0.5380825235558993,0.5432280446269224,0.733541085117868
132,28,125,50,1,0.56192272868028,0.5700533866629762,0.7496150536643992
133,28,125,50,2,0.5483655564513905,0.5506354308687418,0.7405170872109506
134,28,125,50,3,0.5859373535146007,0.5747081979681143,0.7654654489358751
135,28,125,100,1,0.5472785077215787,0.5661848713567599,0.739782743595428
136,28,125,100,2,0.6108585234561074,0.5837632387435597,0.7815743876663995
137,28,125,100,3,0.5493142417946051,0.5549978526291475,0.7411573664172846
138,28,125,150,1,0.538604407438231,0.5432282297206624,0.7338967280470945
139,28,125,150,2,0.5428194292103264,0.546470582383318,0.7367628038998212
