Retrasos,Neuronas LSTM,Batch size,LSTM Layers,MSE,MAE,RMSE
24,50,50,1,0.7436978942116369,0.6215281061449728,0.8623792055770112
24,50,50,2,0.7533835792861696,0.6213393577048221,0.8679767158663703
24,50,50,3,0.7785111449972538,0.6364890660172385,0.8823327858564782
24,50,100,1,0.8860132186701029,0.7244890822775907,0.9412827517117812
24,50,100,2,0.8074362435478759,0.6417493966722078,0.8985745620413901
24,50,100,3,0.7532479437553253,0.6252322061879392,0.867898579187295
24,50,150,1,0.7894216365079864,0.6634215871641249,0.88849402727761
24,50,150,2,0.7427101374770729,0.628151612114188,0.8618063224861332
20,50,50,1,0.7827194854260136,0.6338811251513423,0.884714352447169
20,50,50,2,0.7874050530472155,0.6394887740716582,0.8873584693049453
20,50,50,3,0.7958455133434609,0.656707627656604,0.892101739345609
20,50,100,1,0.8012085670484422,0.6498609309211506,0.8951025455490796
20,50,100,2,0.7754704077713006,0.6469136659259884,0.8806079762137637
20,50,100,3,0.7714617639626324,0.6360062569576267,0.8783289611316665
20,50,150,1,0.7721059800582661,0.6402405061175811,0.8786956128593485
20,50,150,2,0.7790148495960127,0.6474806502371745,0.8826181788270695
20,50,150,3,0.7810718825391172,0.6318346698105112,0.8837827122879907
20,75,50,1,0.8077433406715536,0.6374602059531806,0.8987454259530635
20,75,50,2,0.8360740027547957,0.6708212273891008,0.9143708234380599
20,75,50,3,0.8055370950941251,0.6539150410905955,0.8975171837319468
20,75,100,1,0.7826489951443683,0.6406891112940535,0.8846745136740225
20,75,100,2,0.7666084696943225,0.6267063325551288,0.8755618023271244
20,75,100,3,0.781830162090183,0.6312977377452355,0.8842116048153762
20,75,150,1,0.8032938806365058,0.6441776610848965,0.8962666347892828
20,75,150,2,0.7852603522306315,0.6468800161348848,0.8861491704169403
20,75,150,3,0.803669117981573,0.6343809321065725,0.8964759438945213
20,100,50,1,0.8516198419261618,0.646655147687758,0.9228325102239093
20,100,50,2,0.8014336419468697,0.6396939253133975,0.8952282624821838
20,100,50,3,0.8732914651383807,0.6687587017818589,0.9345006501540707
20,100,100,1,0.7989205352553703,0.6402861307367925,0.8938235481656155
20,100,100,2,0.8080083366795983,0.6415222406600875,0.8988928393749714
20,100,100,3,0.7889293045342086,0.6344538747145337,0.8882169242556733
20,100,150,1,0.8175734138627035,0.6394334552515438,0.9041976630486851
20,100,150,2,0.8165372810077707,0.6456185476781304,0.9036245243505572
20,100,150,3,0.9146911897006607,0.6808370912765219,0.9563948921343425
24,50,150,3,0.7517559038208815,0.6234729647841651,0.8670385826598961
24,75,50,1,0.8000487246149225,0.6428110904121502,0.8944544284729784
24,75,50,2,0.7458534171243678,0.6180063781026789,0.8636280548502161
24,75,50,3,0.7526561277822448,0.627965096886907,0.8675575645351983
24,75,100,1,0.7544851093475708,0.6175897534570016,0.8686110230405615
24,75,100,2,0.7338747519879721,0.6216774050200858,0.8566649006396679
24,75,100,3,0.747568730561743,0.6231265609011247,0.8646205702860319
24,75,150,1,0.7360782182594591,0.6160126321541528,0.8579500091843691
24,75,150,2,0.7428433193778075,0.6344359848164075,0.8618835880661654
24,75,150,3,0.7521734941410964,0.6393488153605755,0.8672793633778544
24,100,50,1,0.7275014215592516,0.613977010006371,0.8529369387939835
24,100,50,2,0.8415709772273884,0.6924539958267676,0.9173717769952313
24,100,50,3,0.7447256692674582,0.6233761985426824,0.8629748949230552
24,100,100,1,0.8099269648882907,0.6461522952453306,0.8999594240232671
24,100,100,2,0.7513592992528605,0.6400460264176515,0.8668098403068925
24,100,100,3,0.7552725613211174,0.6216046288417094,0.8690641871122738
24,100,150,1,0.7436817668534705,0.6305292339201808,0.8623698550236265
24,100,150,2,0.7650707746111916,0.6394490815491723,0.8746832424433382
24,100,150,3,0.7459368442300733,0.6328408877305698,0.8636763538676241
28,50,50,1,0.7772614545351667,0.653037015289385,0.8816243273272163
28,50,50,2,0.778352266609757,0.642733321159744,0.8822427481196754
28,50,50,3,0.7971958953443806,0.6649375298813615,0.8928582728207095
28,50,100,1,0.7649440037783899,0.6284373672888287,0.8746107727317277
28,50,100,2,0.8171489055856361,0.6553456750966734,0.9039628894958223
28,50,100,3,0.794206725529653,0.6470004067959302,0.8911827677472522
28,50,150,1,0.7787063646560098,0.6429735080319484,0.8824434059224477
28,50,150,2,0.769187329824036,0.6412824578033169,0.8770332546853831
28,50,150,3,0.8805130112542282,0.6708245382778811,0.9383565480424956
28,75,50,1,0.8136609003857491,0.6494138062565328,0.9020315406823362
28,75,50,2,0.8099592633203163,0.6587228280174017,0.8999773682267329
28,75,50,3,0.8783028758635311,0.6795094178937627,0.9371781452122809
28,75,100,1,0.7588056076958165,0.618213630561615,0.8710944883856265
28,75,100,2,0.7958153610945855,0.6561576829255226,0.892084839628264
28,75,100,3,0.770716571836309,0.6445578884903778,0.8779046484876982
28,75,150,1,0.7596736662046842,0.6388843367511395,0.871592603344409
28,75,150,2,0.7740537988802957,0.628215070553841,0.8798032728288158
28,75,150,3,0.8396949715168914,0.656590464937211,0.916348717201531
28,100,50,1,0.7413294945745096,0.6242488007484172,0.8610049329559673
28,100,50,2,0.7490537756694746,0.6328988254053158,0.8654789284953589
28,100,50,3,0.760303891323585,0.6342519830583807,0.8719540649160281
28,100,100,1,0.7781597054035023,0.6351677950900781,0.8821336097233243
28,100,100,2,0.7842644245030539,0.6522122068998973,0.8855870507765196
28,100,100,3,0.7531106869574096,0.6211592765725641,0.8678195013696164
28,100,150,1,0.8277705675142539,0.6429387637336718,0.9098189751342043
28,100,150,2,0.7760346974741599,0.6517721734078442,0.8809283157409347
28,100,150,3,0.8352831733975853,0.6765533096949213,0.9139382765797619
32,50,50,1,0.742752460303732,0.6195159816745373,0.8618308768567833
32,50,50,2,0.7379506934467704,0.6209908954715606,0.8590405656584388
32,50,50,3,0.7481927930989632,0.6374912546323503,0.8649813830938579
32,50,100,1,0.7510710388820248,0.6331538175093158,0.8666435477646071
32,50,100,2,0.7710802205411545,0.6501565043700642,0.8781117357951405
32,50,100,3,0.7748018169530819,0.6307057335762789,0.8802282754791975
32,50,150,1,0.771886370807997,0.6318959862405211,0.878570640761457
