Local_Time,Real Data,AR,LSTM univariado,LSTM multivariado
2016-08-09 00:00:00,2.7,3.0918755999999994,3.2026393711566925,3.106786608695984
2016-08-09 01:00:00,3.0,2.6625081000000006,2.7188455760478973,2.706134855747223
2016-08-09 02:00:00,3.5,2.861125,3.0717365741729736,2.980913758277893
2016-08-09 03:00:00,3.2,3.1632191000000005,3.549185872077942,3.468579053878784
2016-08-09 04:00:00,2.9,2.9442165000000013,3.22262504696846,3.0923101902008057
2016-08-09 05:00:00,3.3,2.7569772000000006,2.974052131175995,2.8766013085842133
2016-08-09 06:00:00,3.2,3.1871834999999997,3.3436693847179413,3.2494924664497375
2016-08-09 07:00:00,3.3,3.2429472000000006,3.4697994589805603,3.2281058728694916
2016-08-09 08:00:00,3.5,3.4771035000000006,3.6829744577407837,3.647411048412323
2016-08-09 09:00:00,4.6,3.7910055000000007,3.9013137817382812,4.43189549446106
2016-08-09 10:00:00,6.0,4.685566700000002,4.765537083148956,5.13383549451828
2016-08-09 11:00:00,6.1,5.6866731999999995,5.872318983078003,5.865004062652588
2016-08-09 12:00:00,5.9,5.648506199999999,5.829103231430054,5.622182607650757
2016-08-09 13:00:00,4.8,5.278742600000002,5.472572207450867,5.488705694675446
2016-08-09 14:00:00,5.2,4.2556504,4.416568011045456,4.621367812156677
2016-08-09 15:00:00,5.3,4.429954499999998,4.609686255455017,4.831872940063477
2016-08-09 16:00:00,4.3,4.408168000000002,4.605247735977173,4.673983097076416
2016-08-09 17:00:00,3.8,3.690018900000001,3.7687641084194183,3.5582849979400635
2016-08-09 18:00:00,1.7,3.4069963000000003,3.3596934378147125,3.2016981840133667
2016-08-09 19:00:00,2.3,1.8959008000000002,1.7590940594673157,1.7893574237823486
2016-08-09 20:00:00,2.8,2.4720843,2.1146090626716614,1.9633075296878815
2016-08-09 21:00:00,2.8,2.8542324000000003,2.5787218809127808,2.535306841135025
2016-08-09 22:00:00,3.3,2.7933134999999996,2.608079731464386,2.6367321610450745
2016-08-09 23:00:00,2.8,3.1453024999999997,3.068801701068878,3.1146028339862823
2016-08-10 00:00:00,3.1,2.7261719999999996,2.6625452041625977,2.8288107812404633
2016-08-10 01:00:00,2.7,2.9699696,3.0611220002174377,3.1811830401420593
2016-08-10 02:00:00,2.5,2.7358243000000004,2.75605371594429,2.7996350526809692
2016-08-10 03:00:00,2.2,2.6455079,2.6518319249153137,2.683881640434265
2016-08-10 04:00:00,2.0,2.4849934000000005,2.4684675335884094,2.3985608518123627
2016-08-10 05:00:00,2.3,2.3589894,2.3909801244735718,2.2443784922361374
2016-08-10 06:00:00,3.3,2.6616171,2.7199608385562897,2.4776476621627808
2016-08-10 07:00:00,2.8,3.524304999999999,3.654657304286957,3.2864736914634705
2016-08-10 08:00:00,3.5,3.3116491000000003,3.321840763092041,3.224112868309021
2016-08-10 09:00:00,4.8,3.9756041,4.062592059373856,4.4737465381622314
2016-08-10 10:00:00,6.1,4.9801289,5.103197693824768,5.530392050743103
2016-08-10 11:00:00,5.1,5.904013099999999,6.068281173706055,5.680776000022888
2016-08-10 12:00:00,5.6,4.958004399999999,5.071481108665466,5.01555597782135
2016-08-10 13:00:00,4.5,5.2612076,5.4077324867248535,5.104150414466858
2016-08-10 14:00:00,4.0,4.3218434000000014,4.406399756669998,4.201323688030243
2016-08-10 15:00:00,3.5,3.8165823999999997,3.8831619322299957,3.440975099802017
2016-08-10 16:00:00,2.0,3.3158205000000005,3.3089852035045624,2.828757405281067
2016-08-10 17:00:00,0.6,2.0460505,2.0234623700380325,2.187716692686081
2016-08-10 18:00:00,2.2,0.8891850999999998,0.9710307419300079,2.8741771280765533
2016-08-10 19:00:00,0.5,2.1761288000000003,2.0349666327238083,1.814038172364235
2016-08-10 20:00:00,2.2,0.8840964999999998,0.9647221192717552,1.175210416316986
2016-08-10 21:00:00,2.4,2.2916841,2.1064355671405792,2.0207188725471497
2016-08-10 22:00:00,2.3,2.4166385999999997,2.273086577653885,2.1355575174093246
2016-08-10 23:00:00,2.4,2.2785745,2.1697770059108734,2.063561663031578
2016-08-11 00:00:00,2.2,2.3103524,2.3311673998832703,2.168034106492996
2016-08-11 01:00:00,2.3,2.2154604000000004,2.194743275642395,2.0926158875226974
2016-08-11 02:00:00,1.0,2.2271779999999994,2.349864810705185,2.2283505499362946
2016-08-11 03:00:00,1.9,1.4104988000000003,1.408360093832016,1.0837631821632385
2016-08-11 04:00:00,2.0,2.1748095999999997,2.1763171702623367,2.018760323524475
2016-08-11 05:00:00,2.1,2.3654636,2.3959786891937256,1.9984496980905533
2016-08-11 06:00:00,2.5,2.5311711000000003,2.5855631232261658,2.161164030432701
2016-08-11 07:00:00,3.9,3.022885500000001,2.9646818339824677,2.4924352169036865
2016-08-11 08:00:00,4.2,4.1257432000000005,4.213150084018707,3.982889413833618
2016-08-11 09:00:00,4.8,4.488290600000001,4.473374247550964,5.132053971290588
2016-08-11 10:00:00,5.8,4.8314129,4.804860949516296,4.964840769767761
2016-08-11 11:00:00,6.6,5.5076092,5.503002405166626,5.5333017110824585
2016-08-11 12:00:00,6.7,5.947163,5.988952159881592,5.942081093788147
2016-08-11 13:00:00,5.1,5.7556551,5.872119426727295,5.821574807167053
2016-08-11 14:00:00,5.2,4.3418699,4.510482609272003,4.58373749256134
2016-08-11 15:00:00,4.6,4.355581799999999,4.454128593206406,4.368919372558594
2016-08-11 16:00:00,4.3,3.7462313000000003,3.8482792675495148,3.6576597690582275
2016-08-11 17:00:00,4.8,3.5370841999999993,3.560145914554596,3.512408494949341
