Local_Time,Real Data,AR,LSTM univariado,LSTM multivariado
2016-08-10 10:00:00,376.0,522.9852810000001,617.0728955864907,600.3664090633392
2016-08-10 11:00:00,700.0,392.2269919999998,433.83766162395483,441.90849339962006
2016-08-10 12:00:00,665.0,644.2377500000001,715.0388537049295,699.2250335216522
2016-08-10 13:00:00,666.0,572.807753,590.5720434784888,610.8296269178393
2016-08-10 14:00:00,687.0,607.4917200000001,578.9033519625664,581.6309195756912
2016-08-10 15:00:00,704.0,550.7131700000001,523.7171763777733,528.4686390161513
2016-08-10 16:00:00,294.0,476.02733300000017,468.39085620641714,427.53960850834846
2016-08-10 17:00:00,253.0,194.95536600000003,192.51593180000785,200.48014433681968
2016-08-11 08:00:00,200.0,261.089231,204.7462628185749,146.10516885668042
2016-08-11 09:00:00,236.0,285.2346339999998,355.8467675447464,300.24123734235764
2016-08-11 10:00:00,343.0,364.415933,429.5225321054458,352.5527942180633
2016-08-11 11:00:00,495.0,458.849152,490.45931202173233,448.8195351958275
2016-08-11 12:00:00,490.0,553.6580190000001,587.3186458945273,540.5937356948854
2016-08-11 13:00:00,458.0,550.720105,542.5174863338469,504.2467911243439
2016-08-11 14:00:00,307.0,529.7973559999998,483.4352480769157,467.4615350067616
2016-08-11 15:00:00,172.0,339.8315689999999,356.25525879859924,360.50715059041977
2016-08-11 16:00:00,174.0,157.25839299999996,240.46059630811214,253.95053794980046
2016-08-11 17:00:00,226.0,154.0411490000001,191.47313880920413,181.8523892015219
2016-08-12 08:00:00,88.0,237.78479200000007,212.88545824587345,159.3721777275205
2016-08-12 09:00:00,237.0,188.233172,241.46391068398955,237.1702201217413
2016-08-12 10:00:00,356.0,378.807121,407.25662925839424,376.0878041386604
2016-08-12 11:00:00,354.0,451.476463,463.23183757066727,442.3545747697354
2016-08-12 12:00:00,320.0,457.4446919999999,441.7575933635235,440.96571889519686
2016-08-12 13:00:00,380.0,386.181539,390.4371565580368,408.2201952338218
2016-08-12 14:00:00,373.0,383.17844799999983,379.60361310839653,421.829687833786
2016-08-12 15:00:00,323.0,317.6022660000001,320.33176958560944,374.8242726325989
2016-08-12 16:00:00,347.0,262.5812649999999,248.99927215278151,292.91172222793097
2016-08-12 17:00:00,295.0,267.69936799999994,217.22495838999748,220.2438224256039
2016-08-13 08:00:00,257.0,264.570989,328.34170177578926,203.57003390789035
2016-08-13 09:00:00,512.0,302.94729900000004,361.8688480556011,400.8205898404122
2016-08-13 10:00:00,740.0,511.5191100000001,565.685803771019,609.4404113292695
2016-08-13 11:00:00,912.0,630.7421600000001,715.3174881935121,740.0780438184738
2016-08-13 12:00:00,993.0,721.875844,797.8506352305412,844.4076309204103
2016-08-13 13:00:00,983.0,734.3689599999997,800.0134518146516,854.8177549839021
2016-08-13 14:00:00,578.0,689.2042999999999,747.3186556100846,807.4870863556862
2016-08-13 15:00:00,689.0,410.86012800000015,457.06583547592163,509.7139407992363
2016-08-13 16:00:00,420.0,523.9473730000002,490.4028369188309,499.4016589522362
2016-08-13 17:00:00,208.0,318.3489849999999,254.42751875519755,255.78551116585732
2016-08-14 08:00:00,247.0,257.9081789999999,282.5989727526903,156.90966539829972
2016-08-14 09:00:00,516.0,371.41196000000014,444.6183630824089,480.2356637120247
2016-08-14 10:00:00,761.0,611.3025669999997,693.2313344478607,690.300816178322
2016-08-14 11:00:00,673.0,769.6943929999999,835.76190418005,816.7309455871582
2016-08-14 12:00:00,626.0,687.9472990000003,684.6661836504937,694.7650831341745
2016-08-14 13:00:00,852.0,613.8565429999999,624.0096209645272,650.1724857687951
2016-08-14 14:00:00,630.0,682.9986659999997,699.6192800998689,746.1325345635415
2016-08-14 15:00:00,494.0,477.780996,477.3406851887703,560.8367866873741
2016-08-14 16:00:00,454.0,363.820757,363.2286030650139,445.90729039907455
2016-08-14 17:00:00,367.0,308.83722599999993,268.1622997522354,297.62133213877684
2016-08-15 08:00:00,260.0,339.63034800000014,337.3011710941792,235.18954473733902
2016-08-15 09:00:00,518.0,396.19398000000007,394.27688801288605,444.8394073545933
2016-08-15 10:00:00,584.0,638.8487469999999,646.1902356147767,641.972804427147
2016-08-15 11:00:00,417.0,647.4159219999998,631.2157002091409,626.2841647267343
2016-08-15 12:00:00,823.0,548.3903240000002,494.9131472706795,498.5320862531662
2016-08-15 13:00:00,774.0,775.4776670000001,770.1497771143913,738.309114098549
2016-08-15 14:00:00,508.0,607.8271529999997,614.1418737173083,651.1454402804376
2016-08-15 15:00:00,605.0,412.0449770000001,454.24956238269806,480.167030274868
2016-08-15 16:00:00,478.0,468.52497999999997,465.888577491045,443.9557338654995
2016-08-15 17:00:00,275.0,326.5480869999999,312.02158409357065,268.1222276091576
2016-08-16 08:00:00,102.0,287.19678799999997,242.74674084782603,179.8168394416571
2016-08-16 09:00:00,188.0,285.22873900000013,267.084182843566,252.65166454017162
2016-08-16 10:00:00,324.0,373.495625,396.74251186847687,315.1431105136872
2016-08-16 11:00:00,460.0,449.835507,469.8851082921028,424.924523472786
2016-08-16 12:00:00,484.0,574.4750779999998,551.7591872811316,515.0575646758081
2016-08-16 13:00:00,540.0,546.888898,524.0446600317955,497.15157574415207
2016-08-16 14:00:00,548.0,517.49088,515.9456266760826,500.5709453821182
2016-08-16 15:00:00,426.0,481.01671200000015,464.5279591679573,456.18349292874336
2016-08-16 16:00:00,427.0,356.352892,353.511647939682,335.462852537632
2016-08-16 17:00:00,110.0,313.079521,295.1733702421188,248.53660796582702
2016-08-17 08:00:00,143.0,116.741571,128.46316505968574,127.04164715111256
